stop_id,is_urban
100,True
101,True
102,True
103,True
104,True
105,True
106,True
107,True
108,False
109,True
110,True
111,False
112,True
113,True
114,True
115,True
116,False
117,True
118,True
119,True
120,False
121,True
122,False
123,True
124,True
125,True
126,True
127,True
128,True
129,False
130,False
131,True
132,True
133,False
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,False
142,True
143,True
144,True
145,True
146,True
147,True
148,True
149,False
150,False
151,False
152,True
153,True
154,False
155,True
156,True
157,True
158,True
159,True
160,True
161,False
162,True
163,True
164,False
165,True
166,False
167,True
168,False
169,False
170,True
171,True
172,True
173,True
174,False
175,False
176,False
177,False
178,True
179,True
180,False
181,True
182,False
183,True
184,True
185,False
186,True
187,True
188,True
189,True
190,True
191,True
192,True
193,True
194,False
195,False
196,False
197,False
198,True
199,True
