stop_id,date,wet_weather_score,boardings,alightings,dwell_time
111,2021-06-11,0.7732754491208412,0.0,4.0,28.059656233107496
139,2021-06-10,0.872850463814333,3.0,2.0,35.45896784798114
147,2021-06-08,0.7697303641552105,2.0,8.0,34.4694136322399
172,2021-06-10,0.47009264775662807,0.0,4.0,35.23908302194262
158,2021-06-12,0.890559868571779,1.0,8.0,39.51192108423413
199,2021-06-06,0.9306503536107732,13.0,5.0,137.60562180453377
194,2021-06-12,0.8218073841408007,0.0,5.0,28.039633463541154
160,2021-06-11,0.37626653520984676,14.0,9.0,53.66612252561594
150,2021-06-10,0.44503253413561905,0.0,9.0,27.462354104527687
173,2021-06-09,0.6737267257309776,5.0,2.0,45.974978694601454
191,2021-06-10,0.3399292257853924,6.0,3.0,41.036416244265745
164,2021-06-13,0.648968953599004,0.0,0.0,3.266917489477557
170,2021-06-09,0.5370129587963447,6.0,2.0,44.31949736730701
122,2021-06-11,0.3115756925368013,0.0,0.0,2.4511867590197323
163,2021-06-10,0.6227371813846473,1.0,2.0,105.11479842356194
167,2021-06-10,0.8175055859660209,7.0,3.0,39.81898886312734
151,2021-06-09,0.6545405204677028,1.0,11.0,42.233065519178425
114,2021-06-09,0.9141956388822559,0.0,8.0,53.91652619291645
120,2021-06-09,0.7536622717345609,2.0,0.0,21.36930517069268
152,2021-06-09,0.6696230944300707,14.0,18.0,52.46137115839414
167,2021-06-09,0.46344842204730363,2.0,14.0,50.0107242672378
121,2021-06-12,0.258371536108141,0.0,1.0,34.6769574775274
108,2021-06-09,0.5747922925144711,0.0,2.0,21.712508118995682
182,2021-06-13,0.9103866251158969,1.0,4.0,38.90607624881477
184,2021-06-13,0.5385820146246477,6.0,2.0,38.08207613914675
151,2021-06-08,0.01419572800396185,0.0,9.0,31.75299988596221
104,2021-06-07,0.4305326159698605,2.0,15.0,48.225010162013064
110,2021-06-07,0.07387529311946439,10.0,4.0,49.37748653993884
192,2021-06-05,0.8115752701719393,1.0,3.0,30.128150997617606
156,2021-06-08,0.5190233422852641,16.0,23.0,110.56679482508217
100,2021-06-09,0.16835243949025203,0.0,1.0,37.45262471504525
109,2021-06-13,0.005047078305181141,8.0,9.0,74.90335171000238
102,2021-06-11,0.017129128462691656,4.0,4.0,117.98830419944676
178,2021-06-11,0.03131365904452388,1.0,0.0,41.948610349265415
163,2021-06-09,0.8610172544289338,2.0,15.0,115.37637262148817
184,2021-06-07,0.42928149997062326,1.0,4.0,36.18847657727389
133,2021-06-05,0.07531409346078521,0.0,0.0,4.734388687601354
181,2021-06-09,0.4927725080477605,2.0,9.0,29.40743861696026
130,2021-06-12,0.7547411695796051,0.0,14.0,60.35273082352841
120,2021-06-06,0.2007835220789589,0.0,0.0,11.813443097070909
143,2021-06-11,0.9068710064523043,7.0,4.0,43.22516819226566
171,2021-06-12,0.8725123643487258,0.0,2.0,44.24504699805627
138,2021-06-07,0.6869875347307153,4.0,3.0,65.94407429157133
194,2021-06-09,0.7913342570409864,10.0,3.0,36.263206080943064
140,2021-06-11,0.939722053771855,4.0,2.0,60.226850613989924
105,2021-06-11,0.2378623611203603,13.0,7.0,86.68049369609594
191,2021-06-07,0.9861485828693363,0.0,0.0,14.44379872246897
166,2021-06-06,0.6190706296278992,6.0,5.0,36.384553719739415
122,2021-06-08,0.08161520277700929,0.0,0.0,3.767200165845347
167,2021-06-09,0.7791450858640436,6.0,4.0,49.3209133726487
195,2021-06-06,0.6992470438019324,16.0,6.0,69.8651484677823
175,2021-06-12,0.22405007209924588,1.0,9.0,92.11091102550984
186,2021-06-12,0.6056775438829591,7.0,4.0,56.30734501262806
195,2021-06-05,0.6654561231305174,16.0,7.0,58.07423048130117
147,2021-06-08,0.79918645770601,20.0,8.0,81.63541099596432
182,2021-06-13,0.5944092079127323,3.0,0.0,24.54961375275058
121,2021-06-08,0.17077292439749325,0.0,1.0,22.559461395880575
135,2021-06-13,0.37976455622517724,7.0,4.0,77.4463248915757
101,2021-06-13,0.825784653436635,6.0,4.0,49.549593058512755
187,2021-06-06,0.5398812044980666,0.0,1.0,27.39507566603861
110,2021-06-10,0.6175284433477142,0.0,3.0,29.959497766243462
188,2021-06-12,0.3994673021122984,0.0,18.0,72.61636512346423
192,2021-06-11,0.30259924019934437,4.0,10.0,46.612993010529046
175,2021-06-09,0.8393054956505643,3.0,2.0,86.04813712441205
198,2021-06-06,0.42290952716449937,2.0,6.0,73.80295427467593
104,2021-06-08,0.9056734296760118,1.0,0.0,46.21183499840956
187,2021-06-06,0.5117182958162853,2.0,1.0,31.75641599957615
108,2021-06-09,0.44553594311983336,0.0,0.0,6.079007255021656
139,2021-06-07,0.6770136765138064,4.0,6.0,34.46789420775116
187,2021-06-11,0.6560213951769648,6.0,4.0,39.134993988513116
120,2021-06-13,0.6969487004819567,0.0,1.0,18.037706267701044
188,2021-06-13,0.9584504795921329,4.0,4.0,66.94190591541894
173,2021-06-12,0.7526173452047196,1.0,5.0,34.55694558027688
197,2021-06-10,0.6698248240776982,11.0,5.0,49.557813033980665
147,2021-06-11,0.4530139052468132,1.0,2.0,46.469185493245185
139,2021-06-07,0.17741101216427524,9.0,12.0,44.85734478779138
132,2021-06-13,0.17375754201708238,0.0,4.0,137.84523439235772
130,2021-06-12,0.4030735260513073,10.0,17.0,57.57381011464768
138,2021-06-09,0.7372649150536357,8.0,19.0,77.68879435998862
106,2021-06-12,0.6094705861962686,5.0,5.0,58.863292188696946
124,2021-06-07,0.18760194685246212,4.0,3.0,44.02015090671502
187,2021-06-11,0.8877165292932664,2.0,5.0,28.309558431915526
124,2021-06-10,0.9384479889453388,0.0,5.0,43.00508696788828
106,2021-06-12,0.20074697890443227,0.0,9.0,48.223073969340135
168,2021-06-08,0.6976232398120013,0.0,18.0,45.066091465122156
153,2021-06-11,0.5575052275663871,0.0,0.0,16.422132253170034
134,2021-06-10,0.17558803875273687,2.0,7.0,117.57538206230475
116,2021-06-07,0.3999335273534017,11.0,8.0,110.03649458686581
156,2021-06-07,0.5647043929141126,8.0,7.0,92.23474730757992
172,2021-06-05,0.6950913857215878,13.0,13.0,56.962678934508496
192,2021-06-08,0.40751933763867976,0.0,6.0,46.74889704942083
146,2021-06-06,0.21046639653416976,0.0,2.0,87.55772513742261
181,2021-06-12,0.634982967637713,1.0,5.0,39.27706754295646
177,2021-06-06,0.3971910267900918,13.0,7.0,79.04112842561614
124,2021-06-10,0.4754269223374864,8.0,8.0,47.022282724137234
197,2021-06-06,0.5884873693250728,2.0,1.0,26.831294440621935
146,2021-06-09,0.8527407016118804,1.0,2.0,89.5212183482691
100,2021-06-10,0.12926625174708795,10.0,9.0,57.23362340221631
138,2021-06-10,0.8393771933321098,1.0,13.0,73.76916163770682
166,2021-06-11,0.2613265982500088,3.0,1.0,28.42084635334724
101,2021-06-12,0.31308801276189935,2.0,5.0,43.71508983766945
123,2021-06-08,0.44681400666515836,0.0,9.0,56.69953524003549
116,2021-06-08,0.5239388667298134,0.0,0.0,12.957896933753874
125,2021-06-07,0.5918405701755944,1.0,4.0,34.1257946537021
156,2021-06-10,0.12953480130267803,5.0,2.0,82.97787513876173
159,2021-06-13,0.7306251529900563,0.0,9.0,39.27411597947301
